Name,Ingredients,Description
Cold Brew with Cascara Cold Foam,"Ice, Brewed Coffee, Cascara Cold Foam, Vanilla Syrup, Cascara Topping","Sweetened cold foam is flavored with our Cascara syrup (for subtle notes of dark brown sugar and luscious maple) atop our bold, smooth Starbucks Cold Brew, and finished with just a hint of vanilla syrup."
Iced Coffee,"Ice, Brewed Coffee, Classic Syrup",Freshly brewed Starbucks Iced Coffee Blend served chilled and lightly sweetened over ice.
Iced Coffee with Milk,"Ice, Brewed Coffee, Milk, Classic Syrup",Freshly brewed Starbucks Iced Coffee Blend with milk – served chilled and lightly sweetened over ice.
Nitro Cold Brew,Brewed Coffee,"Our small-batch cold brew—slow-steeped for a super smooth taste—gets even better. We're infusing it with nitrogen for a naturally sweet flavor and cascading, velvety crema. Perfection is served."
Nitro Cold Brew with Cascara Cold Foam,"Brewed Coffee, Cascara Cold Foam, Vanilla Syrup, Cascara Topping","Our velvety-smooth Nitro Cold Brew served cold, straight from the tap, is capped with Cascara flavored Cold Foam for subtle notes of dark brown sugar. Our most craveable cup of Nitro Cold Brew yet."
Nitro Cold Brew with Sweet Cream,"Brewed Coffee, Vanilla Sweet Cream","Served cold, straight from the tap, our Nitro Cold Brew is topped with a float of house-made vanilla sweet cream. The result is a subtly-sweet cascade of velvety coffee that is more sippable than ever."
Cold Brew Coffee,"Ice, Brewed Coffee","Our custom blend of beans are grown to steep long and cold for a super-smooth flavor. Starbucks Cold brew is handcrafted in small batches daily, slow-steeped in cool water for 20 hours, without touching heat."
Cold Brew Coffee with Milk,"Brewed Coffee, Ice, Milk","Our custom blend of beans are grown to steep long and cold for a super-smooth flavor. Starbucks Cold brew is handcrafted in small batches daily, slow-steeped in cool water for 20 hours, without touching heat and finished with a splash of milk."
Vanilla Sweet Cream Cold Brew,"Ice, Brewed Coffee, Vanilla Sweet Cream","Just before serving, our slow-steeped custom blend Starbucks Cold Brew Coffee is topped with a delicate float of house-made vanilla sweet cream that cascades throughout the cup."
Blonde Roast,Brewed Coffee,"Lightly roasted coffee that's soft, mellow and flavorful. Easy-drinking on its own and delicious with milk, sugar or flavored with vanilla, caramel or hazelnut."
Decaf Pike Place Roast,Brewed Decaf Coffee,"Our signature medium roasted coffee with a smooth, balanced and rich flavor, minus the caffeine."